Wavelength,Intensity
300,1.53E-45
301,2.58E-45
302,4.33E-45
303,7.25E-45
304,1.21E-44
305,2.01E-44
306,3.32E-44
307,5.49E-44
308,9.03E-44
309,1.48E-43
310,2.42E-43
311,3.94E-43
312,6.41E-43
313,1.04E-42
314,1.67E-42
315,2.69E-42
316,4.32E-42
317,6.92E-42
318,1.10E-41
319,1.75E-41
320,2.78E-41
321,4.40E-41
322,6.93E-41
323,1.09E-40
324,1.71E-40
325,2.67E-40
326,4.16E-40
327,6.47E-40
328,1.00E-39
329,1.55E-39
330,2.39E-39
331,3.68E-39
332,5.65E-39
333,8.64E-39
334,1.32E-38
335,2.01E-38
336,3.05E-38
337,4.62E-38
338,6.98E-38
339,1.05E-37
340,1.58E-37
341,2.37E-37
342,3.55E-37
343,5.30E-37
344,7.89E-37
345,1.17E-36
346,1.74E-36
347,2.57E-36
348,3.80E-36
349,5.59E-36
350,8.21E-36
351,1.20E-35
352,1.76E-35
353,2.57E-35
354,3.74E-35
355,5.44E-35
356,7.89E-35
357,1.14E-34
358,1.65E-34
359,2.38E-34
360,3.42E-34
361,4.91E-34
362,7.03E-34
363,1.00E-33
364,1.43E-33
365,2.04E-33
366,2.90E-33
367,4.12E-33
368,5.83E-33
369,8.23E-33
370,1.16E-32
371,1.64E-32
372,2.30E-32
373,3.22E-32
374,4.51E-32
375,6.31E-32
376,8.80E-32
377,1.22E-31
378,1.70E-31
379,2.36E-31
380,3.27E-31
381,4.53E-31
382,6.25E-31
383,8.61E-31
384,1.18E-30
385,1.63E-30
386,2.23E-30
387,3.06E-30
388,4.18E-30
389,5.70E-30
390,7.76E-30
391,1.06E-29
392,1.43E-29
393,1.94E-29
394,2.63E-29
395,3.56E-29
396,4.80E-29
397,6.47E-29
398,8.71E-29
399,1.17E-28
400,1.57E-28
401,2.10E-28
402,2.81E-28
403,3.76E-28
404,5.01E-28
405,6.67E-28
406,8.87E-28
407,1.18E-27
408,1.56E-27
409,2.07E-27
410,2.74E-27
411,3.61E-27
412,4.77E-27
413,6.28E-27
414,8.26E-27
415,1.08E-26
416,1.42E-26
417,1.86E-26
418,2.44E-26
419,3.19E-26
420,4.16E-26
421,5.42E-26
422,7.06E-26
423,9.18E-26
424,1.19E-25
425,1.55E-25
426,2.00E-25
427,2.59E-25
428,3.35E-25
429,4.32E-25
430,5.57E-25
431,7.17E-25
432,9.22E-25
433,1.18E-24
434,1.52E-24
435,1.95E-24
436,2.49E-24
437,3.19E-24
438,4.07E-24
439,5.19E-24
440,6.61E-24
441,8.42E-24
442,1.07E-23
443,1.36E-23
444,1.72E-23
445,2.19E-23
446,2.77E-23
447,3.50E-23
448,4.42E-23
449,5.58E-23
450,7.03E-23
451,8.85E-23
452,1.11E-22
453,1.40E-22
454,1.76E-22
455,2.20E-22
456,2.76E-22
457,3.46E-22
458,4.32E-22
459,5.40E-22
460,6.74E-22
461,8.40E-22
462,1.05E-21
463,1.30E-21
464,1.62E-21
465,2.01E-21
466,2.49E-21
467,3.09E-21
468,3.83E-21
469,4.74E-21
470,5.86E-21
471,7.24E-21
472,8.93E-21
473,1.10E-20
474,1.36E-20
475,1.67E-20
476,2.05E-20
477,2.52E-20
478,3.10E-20
479,3.80E-20
480,4.65E-20
481,5.70E-20
482,6.97E-20
483,8.52E-20
484,1.04E-19
485,1.27E-19
486,1.55E-19
487,1.88E-19
488,2.29E-19
489,2.79E-19
490,3.39E-19
491,4.12E-19
492,5.00E-19
493,6.06E-19
494,7.34E-19
495,8.88E-19
496,1.07E-18
497,1.30E-18
498,1.57E-18
499,1.89E-18
500,2.28E-18
501,2.75E-18
502,3.31E-18
503,3.98E-18
504,4.79E-18
505,5.75E-18
506,6.90E-18
507,8.28E-18
508,9.93E-18
509,1.19E-17
510,1.42E-17
511,1.70E-17
512,2.03E-17
513,2.43E-17
514,2.90E-17
515,3.46E-17
516,4.12E-17
517,4.91E-17
518,5.85E-17
519,6.96E-17
520,8.27E-17
521,9.82E-17
522,1.17E-16
523,1.38E-16
524,1.64E-16
525,1.94E-16
526,2.30E-16
527,2.72E-16
528,3.22E-16
529,3.80E-16
530,4.49E-16
531,5.30E-16
532,6.25E-16
533,7.37E-16
534,8.68E-16
535,1.02E-15
536,1.20E-15
537,1.41E-15
538,1.66E-15
539,1.95E-15
540,2.29E-15
541,2.69E-15
542,3.15E-15
543,3.69E-15
544,4.32E-15
545,5.06E-15
546,5.91E-15
547,6.91E-15
548,8.07E-15
549,9.43E-15
550,1.10E-14
551,1.28E-14
552,1.49E-14
553,1.74E-14
554,2.03E-14
555,2.36E-14
556,2.74E-14
557,3.19E-14
558,3.70E-14
559,4.30E-14
560,4.99E-14
561,5.79E-14
562,6.71E-14
563,7.77E-14
564,9.00E-14
565,1.04E-13
566,1.20E-13
567,1.39E-13
568,1.61E-13
569,1.86E-13
570,2.15E-13
571,2.48E-13
572,2.86E-13
573,3.29E-13
574,3.79E-13
575,4.37E-13
576,5.02E-13
577,5.78E-13
578,6.64E-13
579,7.64E-13
580,8.77E-13
581,1.01E-12
582,1.16E-12
583,1.33E-12
584,1.52E-12
585,1.74E-12
586,1.99E-12
587,2.28E-12
588,2.61E-12
589,2.99E-12
590,3.42E-12
591,3.90E-12
592,4.46E-12
593,5.09E-12
594,5.81E-12
595,6.62E-12
596,7.55E-12
597,8.61E-12
598,9.80E-12
599,1.12E-11
600,1.27E-11
601,1.45E-11
602,1.64E-11
603,1.87E-11
604,2.12E-11
605,2.41E-11
606,2.74E-11
607,3.10E-11
608,3.52E-11
609,3.99E-11
610,4.52E-11
611,5.12E-11
612,5.80E-11
613,6.57E-11
614,7.43E-11
615,8.40E-11
616,9.50E-11
617,1.07E-10
618,1.21E-10
619,1.37E-10
620,1.55E-10
621,1.74E-10
622,1.97E-10
623,2.22E-10
624,2.50E-10
625,2.81E-10
626,3.17E-10
627,3.57E-10
628,4.01E-10
629,4.51E-10
630,5.08E-10
631,5.70E-10
632,6.41E-10
633,7.20E-10
634,8.08E-10
635,9.07E-10
636,1.02E-09
637,1.14E-09
638,1.28E-09
639,1.43E-09
640,1.61E-09
641,1.80E-09
642,2.01E-09
643,2.25E-09
644,2.52E-09
645,2.82E-09
646,3.15E-09
647,3.52E-09
648,3.93E-09
649,4.39E-09
650,4.90E-09
651,5.46E-09
652,6.10E-09
653,6.80E-09
654,7.58E-09
655,8.44E-09
656,9.41E-09
657,1.05E-08
658,1.17E-08
659,1.30E-08
660,1.44E-08
661,1.61E-08
662,1.79E-08
663,1.98E-08
664,2.20E-08
665,2.45E-08
666,2.72E-08
667,3.02E-08
668,3.35E-08
669,3.71E-08
670,4.12E-08
671,4.57E-08
672,5.06E-08
673,5.61E-08
674,6.21E-08
675,6.88E-08
676,7.61E-08
677,8.42E-08
678,9.32E-08
679,1.03E-07
680,1.14E-07
681,1.26E-07
682,1.39E-07
683,1.54E-07
684,1.70E-07
685,1.87E-07
686,2.07E-07
